kernel_name,dtype,input_size,runtime_ms,correct,device_name,gws0,gws1,gws2,lws0,lws1,lws2,flops_est,bw_GBps
reduction_global,FP32,1024,0.044154,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,1024,0.185532
reduction_global,FP64,1024,0.036288,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,1024,0.451499
reduction_global,FP32,4096,0.044937,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,4096,0.729199
reduction_global,FP64,4096,0.044068,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,4096,1.48716
reduction_shared,FP32,256,0.194449,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,256,0.0105323
reduction_shared,FP64,256,0.20192,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,256,0.0202853
reduction_shared,FP32,1024,0.040515,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,1024,0.202197
reduction_shared,FP64,1024,0.028793,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,1024,0.569027
reduction_shared,FP32,4096,0.045967,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,4096,0.712859
reduction_shared,FP64,4096,0.051578,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,4096,1.27062
scan_shared,FP32,256,0.184965,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,256,0.0110724
scan_shared,FP64,256,0.212182,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,256,0.0193042
scan_shared,FP32,1024,0.072175,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,1024,0.113502
scan_shared,FP64,1024,0.061042,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",1024,1,1,256,1,1,1024,0.268405
