kernel_name,dtype,input_size,runtime,correct,device_name
dfs_basic,INT32,512,0.031744,PASS,CUDA
pagerank_basic,FP32,128,0.115712,PASS,CUDA
pagerank_basic,FP64,128,0.065536,PASS,CUDA
pagerank_basic,FP32,256,0.035840,PASS,CUDA
pagerank_basic,FP64,256,0.067584,PASS,CUDA
stencil2d_3x3,FP32,32,0.037888,PASS,CUDA
stencil2d_3x3,FP64,32,0.032768,PASS,CUDA
stencil2d_3x3,FP32,64,0.025600,PASS,CUDA
stencil2d_3x3,FP64,64,0.033792,PASS,CUDA
stencil2d_5x5,FP32,32,0.077824,PASS,CUDA
stencil2d_5x5,FP64,32,0.075776,PASS,CUDA
stencil2d_5x5,FP32,64,0.038912,PASS,CUDA
stencil2d_5x5,FP64,64,0.041984,PASS,CUDA
stencil3d_global,FP32,16,0.065536,PASS,CUDA
stencil3d_global,FP64,16,0.238592,PASS,CUDA
stencil3d_global,FP32,32,0.070112,PASS,CUDA
stencil3d_global,FP64,32,0.071424,PASS,CUDA
stencil3d_shared,FP32,16,0.054272,PASS,CUDA
stencil3d_shared,FP64,16,0.168960,PASS,CUDA
stencil3d_shared,FP32,32,0.056224,PASS,CUDA
stencil3d_shared,FP64,32,0.158624,PASS,CUDA
histogram_global,INT32,1024,0.041984,PASS,CUDA
histogram_global,INT32,4096,0.032768,PASS,CUDA
histogram_shared,INT32,1024,0.062464,PASS,CUDA
histogram_shared,INT32,4096,0.032768,PASS,CUDA
sort_bitonic,INT32,256,0.292864,FAIL,CUDA
sort_bitonic,INT32,1024,0.562176,FAIL,CUDA
montecarlo_basic,FP32,1024,0.129024,PASS,CUDA
montecarlo_basic,FP64,1024,0.179200,PASS,CUDA
montecarlo_basic,FP32,4096,0.050176,PASS,CUDA
montecarlo_basic,FP64,4096,0.055296,PASS,CUDA
fft1d_global,FP32,256,0.124928,FAIL,CUDA
fft1d_global,FP64,256,0.250880,FAIL,CUDA
fft1d_global,FP32,1024,0.107520,FAIL,CUDA
fft1d_global,FP64,1024,0.110592,FAIL,CUDA
fft1d_global,FP32,4096,0.148480,FAIL,CUDA
fft1d_global,FP64,4096,0.442368,FAIL,CUDA
fft1d_staged,FP32,256,0.372736,FAIL,CUDA
fft1d_staged,FP64,256,0.236544,FAIL,CUDA
fft1d_staged,FP32,1024,0.099328,FAIL,CUDA
fft1d_staged,FP64,1024,0.099328,FAIL,CUDA
fft1d_staged,FP32,4096,0.186368,FAIL,CUDA
fft1d_staged,FP64,4096,0.131072,FAIL,CUDA
vecadd_basic,FP32,64,0.206074,PASS,OpenCL
vecadd_basic,FP64,64,0.241574,PASS,OpenCL
vecadd_basic,FP32,256,0.005911,PASS,OpenCL
vecadd_basic,FP64,256,0.10334,PASS,OpenCL
vecadd_basic,FP32,1024,0.132931,PASS,OpenCL
vecadd_basic,FP64,1024,0.037624,PASS,OpenCL
vecadd_basic,FP32,4096,0.118681,PASS,OpenCL
vecadd_basic,FP64,4096,0.049411,PASS,OpenCL
dot_global,FP32,256,0.178635,PASS,OpenCL
dot_global,FP64,256,0.18094,PASS,OpenCL
dot_global,FP32,1024,0.047503,PASS,OpenCL
dot_global,FP64,1024,0.030417,PASS,OpenCL
dot_global,FP32,4096,0.031771,PASS,OpenCL
dot_global,FP64,4096,0.052907,PASS,OpenCL
dot_shared,FP32,256,0.197996,PASS,OpenCL
dot_shared,FP64,256,0.211376,PASS,OpenCL
dot_shared,FP32,1024,0.035574,PASS,OpenCL
dot_shared,FP64,1024,0.033896,PASS,OpenCL
dot_shared,FP32,4096,0.046553,PASS,OpenCL
dot_shared,FP64,4096,0.034708,PASS,OpenCL
gemv_global,FP32,16,0.184638,PASS,OpenCL
gemv_global,FP64,16,0.185085,PASS,OpenCL
gemv_global,FP32,32,0.001707,PASS,OpenCL
gemv_global,FP64,32,0.008558,PASS,OpenCL
gemv_global,FP32,64,0.003068,PASS,OpenCL
gemv_global,FP64,64,0.003563,PASS,OpenCL
gemv_global,FP32,128,0.027324,PASS,OpenCL
gemv_global,FP64,128,0.026604,PASS,OpenCL
matmul_global,FP32,16,0.223837,PASS,OpenCL
matmul_global,FP64,16,0.191083,PASS,OpenCL
matmul_global,FP32,32,0.045398,PASS,OpenCL
matmul_global,FP64,32,0.051733,PASS,OpenCL
matmul_global,FP32,64,0.064202,PASS,OpenCL
matmul_global,FP64,64,0.078999,PASS,OpenCL
matmul_global,FP32,128,0.223597,PASS,OpenCL
matmul_global,FP64,128,0.283554,PASS,OpenCL
matmul_shared,FP32,16,0.19003,PASS,OpenCL
matmul_shared,FP64,16,0.211707,PASS,OpenCL
